Location,Rep,block,Geno,area_mm2,perimeter_mm,majellipse_mm,minellipse_mm,color 1,COLOR 2,COLOR 3,PMG,Moisture FLOUR,Water Abs,Protein  FLOUR,PEAK TIME MINUTES,PEAK VALUE %,PEAK WIDTH %,"PEAK INTEGRAL %TQ*MIN,",SCORE mixo,SDS sedimentation,Hardness Nir,Protein grain NIR,Moisture grain NIR,rendement de la farine,Fe mg/Kg,Zn mg/Kg,Se mg/Kg,Extraction 1,Extraction 2,Extraction 3, Quantité de farine (gramme)(calculer),Glu- A1, Glu-B1,Glu-D1,Payne et all,Branlard & Dardevet
KEF,2,3,8,15.8,20.1,6.6,3.0,181.2,140.1,116.0,32.7,10.856,64.145,11.774,2.84,61.501,25.303,109.647,2,9.5,48.294,11.09,10.409,78.20110293,19.79601657,36.04563011,0.145399802,286.97,52.15,23.28,362.40,1,7,2+12,6,30
KEF,2,3,3,13.4,18.8,6.3,2.7,188.2,144.1,114.1,26.2,11.375,62.049,11.499,3.3,62.114,25.355,133.984,3,8.5,45.239,11.837,10.353,74.89848579,23.52943317,35.0414799,0.304929509,,,,333.34,2*,7,5+10,8,
KEF,2,3,6,15.2,19.9,6.5,3.0,180.1,138.3,111.9,33.7,11.457,61.99,13.331,3.67,61.106,22.585,142.047,3,10.5,57.649,11.7,11.016,73.70704037,35.93070107,35.37595728,0.15583253,,,,374.34,1,7,2+12,6,30
KEF,2,3,2,15.4,20.0,6.6,2.9,160.9,110.9,80.0,34.1,11.224,62.828,12.657,5.75,61.863,30.852,209.075,5,9.5,73.852,13.149,10.849,76.17830324,22.21626482,27.34857916,0.176772776,258.42,57.40,13.48,329.30,0,7,2+10,,
KEF,2,3,5,14.3,19.7,6.6,2.7,159.5,105.9,75.6,29.7,11.008,63.123,13.08,3,68.088,38.835,139.006,3,12.5,74.579,14.191,13.129,66.27514757,20.21723195,20.60667417,0.145735075,220.49,94.23,,314.72,2*,7+9,2+12,7,57
KEF,2,3,14,16.4,20.4,6.8,3.1,163.5,110.7,78.8,37.7,11.248,62.455,12.267,3.36,79.281,32.284,170.064,3,8,62.291,12.972,11.075,72.57256212,25.6038356,27.45410962,0.255157535,,,,382.55,1,7,2+12,6,30
KEF,2,3,16,16.0,20.4,6.6,3.1,170.3,116.8,82.4,36.1,10.979,64.883,14.416,3.18,60.129,24.512,121.866,2,10,58.566,12.32,11.595,76.70490624,20.94464424,29.12340962,0.146906679,,,,342.6,2*,7,2+12,6,45
KEF,2,3,1,17.0,21.5,7.3,3.0,171.6,119.2,89.7,35.8,11.146,64.105,13.912,4.25,56.005,23.511,163.134,4,9,52.496,12.346,13.46,73.70865027,33.47885173,22.45262311,0.199004936,259.78,70.34,22.40,352.52,0,7,2+10,,
KEF,2,3,11,14.4,19.2,6.4,2.8,172.7,118.6,83.4,30.5,11.566,62.19,13.151,2.89,62.985,24.132,120.539,2,11.5,76.984,12.216,12.355,80.34943871,20.68996863,24.49681162,0.221262293,309.59,63.31,16.70,389.60,1,7,2+12,6,30
KEF,2,4,23,15.1,19.8,6.7,2.9,170.8,118.7,84.7,31.9,11.7,62.729,12.58,3.02,54.968,21.173,112.106,2,10.5,70.219,12.658,9.74,77.70541319,15.28197041,27.99427118,0.19183786,262.71,61.52,20.93,345.16,1,7,2+12,6,30
